Station,value,date
Liverpool ,16.1,2019/12/01
Liverpool ,63.2,2019/12/02
Liverpool ,156,2019/12/03
Liverpool ,111.6,2019/12/04
Liverpool ,99.4,2019/12/05
Liverpool ,35.3,2019/12/06
Liverpool ,38.6,2019/12/07
Liverpool ,12.1,2019/12/08
Liverpool ,21.6,2019/12/09
Liverpool ,81.6,2019/12/10
Liverpool ,12.2,2019/12/11
Liverpool ,13.8,2019/12/12
Liverpool ,7.4,2019/12/13
Liverpool ,28.7,2019/12/14
Liverpool ,33.8,2019/12/15
Liverpool ,18.9,2019/12/16
Liverpool ,6.4,2019/12/17
Liverpool ,14.4,2019/12/18
Liverpool ,47.4,2019/12/19
Liverpool ,12,2019/12/20
Liverpool ,39.4,2019/12/21
Liverpool ,17.6,2019/12/22
Liverpool ,15.2,2019/12/23
Liverpool ,13.4,2019/12/24
Liverpool ,16.8,2019/12/25
Liverpool ,10.7,2019/12/26
Liverpool ,5.8,2019/12/27
Liverpool ,11.6,2019/12/28
Liverpool ,21.3,2019/12/29
Liverpool ,17.7,2019/12/30
Liverpool ,,2019/12/31
Bringelly,15.4,2019/12/01
Bringelly,43.8,2019/12/02
Bringelly,118.5,2019/12/03
Bringelly,178,2019/12/04
Bringelly,,2019/12/05
Bringelly,66.3,2019/12/06
Bringelly,55.9,2019/12/07
Bringelly,12.2,2019/12/08
Bringelly,39.6,2019/12/09
Bringelly,65.7,2019/12/10
Bringelly,13.4,2019/12/11
Bringelly,14.9,2019/12/12
Bringelly,8.3,2019/12/13
Bringelly,36.3,2019/12/14
Bringelly,39.8,2019/12/15
Bringelly,21.2,2019/12/16
Bringelly,6,2019/12/17
Bringelly,12.8,2019/12/18
Bringelly,42.2,2019/12/19
Bringelly,9.7,2019/12/20
Bringelly,45.1,2019/12/21
Bringelly,16.2,2019/12/22
Bringelly,15.1,2019/12/23
Bringelly,12.5,2019/12/24
Bringelly,13.9,2019/12/25
Bringelly,9.5,2019/12/26
Bringelly,6.7,2019/12/27
Bringelly,11.4,2019/12/28
Bringelly,39.8,2019/12/29
Bringelly,31.9,2019/12/30
Bringelly,35.8,2019/12/31
Bargo,16.9,2019/12/01
Bargo,3.6,2019/12/02
Bargo,3.8,2019/12/03
Bargo,4.6,2019/12/04
Bargo,5.2,2019/12/05
Bargo,17,2019/12/06
Bargo,30.9,2019/12/07
Bargo,16,2019/12/08
Bargo,36.6,2019/12/09
Bargo,100.7,2019/12/10
Bargo,14.1,2019/12/11
Bargo,24.4,2019/12/12
Bargo,7.9,2019/12/13
Bargo,73.7,2019/12/14
Bargo,55.4,2019/12/15
Bargo,25.9,2019/12/16
Bargo,9.3,2019/12/17
Bargo,81.1,2019/12/18
Bargo,,2019/12/19
Bargo,,2019/12/20
Bargo,87.1,2019/12/21
Bargo,18.7,2019/12/22
Bargo,15,2019/12/23
Bargo,26,2019/12/24
Bargo,17.8,2019/12/25
Bargo,13.2,2019/12/26
Bargo,7.8,2019/12/27
Bargo,21.9,2019/12/28
Bargo,137.1,2019/12/29
Bargo,139.4,2019/12/30
Bargo,170.7,2019/12/31
Oakdale,52.9,2019/12/01
Oakdale,122.4,2019/12/02
Oakdale,146,2019/12/03
Oakdale,124.9,2019/12/04
Oakdale,157.5,2019/12/05
Oakdale,,2019/12/06
Oakdale,,2019/12/07
Oakdale,,2019/12/08
Oakdale,,2019/12/09
Oakdale,250.2,2019/12/10
Oakdale,98.3,2019/12/11
