Station,sample_datetime,value,date
Churchill,1/12/2019 0:00,-5.599999905,2019/12/01
Churchill,2/12/2019 0:00,7.699999809,2019/12/02
Churchill,3/12/2019 0:00,3.400000095,2019/12/03
Churchill,4/12/2019 0:00,7.699999809,2019/12/04
Churchill,5/12/2019 0:00,-0.5,2019/12/05
Churchill,6/12/2019 0:00,3.700000048,2019/12/06
Churchill,7/12/2019 0:00,8.899999619,2019/12/07
Churchill,8/12/2019 0:00,6.699999809,2019/12/08
Churchill,9/12/2019 0:00,7.900000095,2019/12/09
Churchill,10/12/2019 0:00,8.699999809,2019/12/10
Churchill,11/12/2019 0:00,5.900000095,2019/12/11
Churchill,12/12/2019 0:00,8.600000381,2019/12/12
Churchill,13/12/2019 0:00,2.900000095,2019/12/13
Churchill,14/12/2019 0:00,-1.700000048,2019/12/14
Churchill,15/12/2019 0:00,4.400000095,2019/12/15
Churchill,16/12/2019 0:00,-1.399999976,2019/12/16
Churchill,17/12/2019 0:00,9,2019/12/17
Churchill,18/12/2019 0:00,16.29999924,2019/12/18
Churchill,19/12/2019 0:00,8.600000381,2019/12/19
Churchill,20/12/2019 0:00,6.400000095,2019/12/20
Churchill,21/12/2019 0:00,18.70000076,2019/12/21
Churchill,22/12/2019 0:00,5.5,2019/12/22
Churchill,23/12/2019 0:00,11.69999981,2019/12/23
Churchill,24/12/2019 0:00,11.89999962,2019/12/24
Churchill,25/12/2019 0:00,2.900000095,2019/12/25
Churchill,26/12/2019 0:00,11.10000038,2019/12/26
Churchill,27/12/2019 0:00,6.5,2019/12/27
Churchill,28/12/2019 0:00,10.60000038,2019/12/28
Churchill,29/12/2019 0:00,14.5,2019/12/29
Churchill,30/12/2019 0:00,21.70000076,2019/12/30
Churchill,31/12/2019 0:00,14.30000019,2019/12/31
Footscray,1/12/2019 0:00,0.699999988,2019/12/01
Footscray,2/12/2019 0:00,3.200000048,2019/12/02
Footscray,3/12/2019 0:00,6.400000095,2019/12/03
Footscray,4/12/2019 0:00,4.800000191,2019/12/04
Footscray,5/12/2019 0:00,6.300000191,2019/12/05
Footscray,6/12/2019 0:00,2.799999952,2019/12/06
Footscray,7/12/2019 0:00,7.599999905,2019/12/07
Footscray,8/12/2019 0:00,3.599999905,2019/12/08
Footscray,9/12/2019 0:00,11.39999962,2019/12/09
Footscray,10/12/2019 0:00,12.30000019,2019/12/10
Footscray,11/12/2019 0:00,2.799999952,2019/12/11
Footscray,12/12/2019 0:00,3.799999952,2019/12/12
Footscray,13/12/2019 0:00,3.5,2019/12/13
Footscray,14/12/2019 0:00,4.5,2019/12/14
Footscray,15/12/2019 0:00,6.5,2019/12/15
Footscray,16/12/2019 0:00,8.100000381,2019/12/16
Footscray,17/12/2019 0:00,0.899999976,2019/12/17
Footscray,18/12/2019 0:00,6.300000191,2019/12/18
Footscray,19/12/2019 0:00,13.39999962,2019/12/19
Footscray,20/12/2019 0:00,4.599999905,2019/12/20
Footscray,21/12/2019 0:00,28.10000038,2019/12/21
Footscray,22/12/2019 0:00,4.099999905,2019/12/22
Footscray,23/12/2019 0:00,11.19999981,2019/12/23
Footscray,24/12/2019 0:00,6.400000095,2019/12/24
Footscray,25/12/2019 0:00,6.099999905,2019/12/25
Footscray,26/12/2019 0:00,47.90000153,2019/12/26
Footscray,27/12/2019 0:00,7.699999809,2019/12/27
Footscray,28/12/2019 0:00,16.29999924,2019/12/28
Footscray,29/12/2019 0:00,13.30000019,2019/12/29
Footscray,30/12/2019 0:00,7.099999905,2019/12/30
Footscray,31/12/2019 0:00,14,2019/12/31
Geelong South,1/12/2019 0:00,0.300000012,2019/12/01
Geelong South,2/12/2019 0:00,4.199999809,2019/12/02
Geelong South,3/12/2019 0:00,-0.699999988,2019/12/03
Geelong South,4/12/2019 0:00,3.5,2019/12/04
Geelong South,5/12/2019 0:00,3.900000095,2019/12/05
Geelong South,6/12/2019 0:00,3.900000095,2019/12/06
Geelong South,7/12/2019 0:00,6.800000191,2019/12/07
Geelong South,8/12/2019 0:00,4.5,2019/12/08
Geelong South,9/12/2019 0:00,4.099999905,2019/12/09
Geelong South,10/12/2019 0:00,8.899999619,2019/12/10
Geelong South,11/12/2019 0:00,3.599999905,2019/12/11
Geelong South,12/12/2019 0:00,3.700000048,2019/12/12
Geelong South,13/12/2019 0:00,8.199999809,2019/12/13
Geelong South,14/12/2019 0:00,1.600000024,2019/12/14
Geelong South,15/12/2019 0:00,4.099999905,2019/12/15
Geelong South,16/12/2019 0:00,2.599999905,2019/12/16
Geelong South,17/12/2019 0:00,4.800000191,2019/12/17
Geelong South,18/12/2019 0:00,5.199999809,2019/12/18
Geelong South,19/12/2019 0:00,7.900000095,2019/12/19
Geelong South,21/12/2019 0:00,29.89999962,2019/12/21
Geelong South,22/12/2019 0:00,7.400000095,2019/12/22
Geelong South,23/12/2019 0:00,9.300000191,2019/12/23
Geelong South,24/12/2019 0:00,9.600000381,2019/12/24
Geelong South,25/12/2019 0:00,7.800000191,2019/12/25
Geelong South,26/12/2019 0:00,23.79999924,2019/12/26
Geelong South,27/12/2019 0:00,5.900000095,2019/12/27
Geelong South,28/12/2019 0:00,6.099999905,2019/12/28
Geelong South,29/12/2019 0:00,8.800000191,2019/12/29
Geelong South,30/12/2019 0:00,7.099999905,2019/12/30
Geelong South,31/12/2019 0:00,9.899999619,2019/12/31
Melbourne CBD,1/12/2019 0:00,4.199999809,2019/12/01
Melbourne CBD,2/12/2019 0:00,3.200000048,2019/12/02
Melbourne CBD,3/12/2019 0:00,-0.699999988,2019/12/03
Melbourne CBD,4/12/2019 0:00,0.5,2019/12/04
Melbourne CBD,5/12/2019 0:00,5.400000095,2019/12/05
Melbourne CBD,6/12/2019 0:00,2.900000095,2019/12/06
Melbourne CBD,7/12/2019 0:00,6.699999809,2019/12/07
Melbourne CBD,8/12/2019 0:00,0.400000006,2019/12/08
Melbourne CBD,9/12/2019 0:00,8,2019/12/09
Melbourne CBD,10/12/2019 0:00,8.5,2019/12/10
Melbourne CBD,11/12/2019 0:00,0.200000003,2019/12/11
Melbourne CBD,12/12/2019 0:00,0.800000012,2019/12/12
Melbourne CBD,13/12/2019 0:00,3.5,2019/12/13
Melbourne CBD,14/12/2019 0:00,3.799999952,2019/12/14
Melbourne CBD,15/12/2019 0:00,3.900000095,2019/12/15
Melbourne CBD,16/12/2019 0:00,5.800000191,2019/12/16
Melbourne CBD,17/12/2019 0:00,5.900000095,2019/12/17
Melbourne CBD,18/12/2019 0:00,7.900000095,2019/12/18
Melbourne CBD,19/12/2019 0:00,7.300000191,2019/12/19
Melbourne CBD,20/12/2019 0:00,7.400000095,2019/12/20
Melbourne CBD,21/12/2019 0:00,22.89999962,2019/12/21
Melbourne CBD,22/12/2019 0:00,9,2019/12/22
Melbourne CBD,23/12/2019 0:00,6.199999809,2019/12/23
Melbourne CBD,24/12/2019 0:00,8.600000381,2019/12/24
Melbourne CBD,25/12/2019 0:00,-0.200000003,2019/12/25
