Jurisdiction,Forest Category ,Value
Australian Capital Territory,Native Forest,64
Australian Capital Territory,Commercial Plantation,0.2
Australian Capital Territory,Other Forest,2.7
New South Wales,Native Forest,25
New South Wales,Commercial Plantation,24
New South Wales,Other Forest,26
Northern Territory,Native Forest,0
Northern Territory,Commercial Plantation,0
Northern Territory,Other Forest,0
Queensland,Native Forest,1
Queensland,Commercial Plantation,1.9
Queensland,Other Forest,1.3
South Australia,Native Forest,2.4
South Australia,Commercial Plantation,10
South Australia,Other Forest,7.9
Tasmania,Native Forest,0.8
Tasmania,Commercial Plantation,0.8
Tasmania,Other Forest,0.4
Victoria,Native Forest,19
Victoria,Commercial Plantation,2.4
Victoria,Other Forest,2
Western Australia,Native Forest,5.6
Western Australia,Commercial Plantation,1.2
Western Australia,Other Forest,0.2
